party,percentage_2014,percentage_2019,percentage_difference
BJP,30.9696,37.2984,6.3288
CPIM,0.0171,1.7643,1.7472
INC,18.5843,19.4563,0.8720
DMK,1.8521,2.3386,0.4865
JD(U),1.1508,1.4534,0.3026
AGP,0.1111,0.2411,0.1300
SHS,1.9735,2.0937,0.1202
RLD,0.1340,0.2357,0.1016
LJP,0.4415,0.5222,0.0807
AIMIM,0.1319,0.1956,0.0638
APoI,0.0125,0.0620,0.0496
IUML,0.2115,0.2593,0.0477
BLSP,0.2074,0.2381,0.0307
SBSP,0.0229,0.0511,0.0282
JMM,0.2817,0.3097,0.0280
BVA,0.0565,0.0800,0.0236
UDP,0.0205,0.0435,0.0230
PMK,0.3514,0.3741,0.0226
HND,0.0017,0.0200,0.0183
NOTA,1.0471,1.0620,0.0149
AJSUP,0.0926,0.1056,0.0129
IPFT,0.0041,0.0146,0.0105
BOPF,0.0635,0.0727,0.0093
SSD,0.0020,0.0103,0.0083
JPC,0.0137,0.0218,0.0081
MADP,0.0030,0.0096,0.0066
RVNP,0.0017,0.0070,0.0053
RSOSP,0.0002,0.0050,0.0048
ANC,0.0038,0.0080,0.0042
SKM,0.0235,0.0272,0.0037
RRP,0.0004,0.0034,0.0029
PBI,0.0004,0.0032,0.0027
BSCP,0.0146,0.0173,0.0027
BJKVP,0.0041,0.0067,0.0025
MOSP,0.0010,0.0035,0.0025
NEP,0.0006,0.0029,0.0024
SVPP,0.0001,0.0024,0.0023
RMGP,0.0006,0.0027,0.0021
BJKD,0.0028,0.0048,0.0020
BRPI,0.0004,0.0023,0.0019
BBC,0.0014,0.0032,0.0018
SAD(M),0.0068,0.0085,0.0017
JanSP,0.0002,0.0018,0.0017
KS,0.0006,0.0020,0.0015
VSP,0.0001,0.0014,0.0014
PGSP,0.0008,0.0019,0.0011
PSJP,0.0001,0.0011,0.0010
MCPI,0.0025,0.0034,0.0009
IPGP,0.0007,0.0016,0.0009
BMF,0.0031,0.0039,0.0008
PHRC,0.0009,0.0017,0.0008
PPIS,0.0001,0.0008,0.0007
JMM(U),0.0007,0.0014,0.0007
NNP,0.0001,0.0007,0.0007
ASaP,0.0003,0.0009,0.0006
BhNP,0.0004,0.0009,0.0005
UPP,0.0004,0.0009,0.0005
RaJPa,0.0000,0.0006,0.0005
ASP,0.0053,0.0057,0.0004
bns,0.0004,0.0008,0.0004
ATBP,0.0004,0.0008,0.0004
AIPF,0.0015,0.0018,0.0003
KCVP,0.0001,0.0004,0.0003
SaVP,0.0001,0.0004,0.0003
ETMK,0.0006,0.0009,0.0003
RTKP,0.0008,0.0011,0.0003
VoP,0.0002,0.0004,0.0002
PAP,0.0001,0.0002,0.0001
AVIRP,0.0011,0.0013,0.0001
BKPP,0.0014,0.0015,0.0001
RVLP,0.0006,0.0006,0.0001
RGD,0.0002,0.0003,0.0001
RSWD,0.0013,0.0014,0.0000
RJAVP,0.0000,0.0001,0.0000
igp,0.0001,0.0001,0.0000
MKUP,0.0001,0.0001,0.0000
SaDa,0.0004,0.0005,0.0000
