state_2014,pc_name_2014,candidate_2014,party_2014,party_symbol_2014,general_votes_2014,postal_votes_2014,total_votes_2014,total_electors_2014,candidate_2019,party_2019,party_symbol_2019,general_votes_2019,postal_votes_2019,total_votes_2019,total_electors_2019,percentage_votes_2019
Gujarat,Surat,"DARSHANA VIKRAM JARDOSH",BJP,Lotus,717429,983,718412,1484068,"Darshana Vikram Jardosh",BJP,Lotus,794133,1518,795651,1655704,74.4704
Gujarat,Navsari,"C. R. PATIL",BJP,Lotus,818367,2464,820831,1764622,"C. R. Patil",BJP,Lotus,969430,3309,972739,1971658,74.3674
Gujarat,Vadodara,"NARENDRA MODI",BJP,Lotus,841592,3872,845464,1638321,"RANJANBEN BHATT",BJP,Lotus,880905,2814,883719,1794896,72.2968
"Himachal Pradesh",Kangra,"SHANTA KUMAR",BJP,Lotus,455160,1003,456163,1258601,"Kishan Kapoor",BJP,Lotus,712133,13085,725218,1427338,72.0185
Rajasthan,Bhilwara,"SUBHASH BAHERIA",BJP,Lotus,629117,1200,630317,1754901,"SUBHASH CHANDRA BAHERIA",BJP,Lotus,936065,2095,938160,1997328,71.5872
Maharashtra,"Mumbai North","GOPAL CHINAYYA SHETTY",BJP,Lotus,663309,695,664004,1783870,"Gopal Shetty",BJP,Lotus,705555,1123,706678,1647350,71.3990
Haryana,Karnal,"ASHWINI KUMAR",BJP,Lotus,594704,113,594817,1684321,"Sanjay Bhatia",BJP,Lotus,909432,2162,911594,1904193,70.0837
Gujarat,Gandhinagar,L.K.ADVANI,BJP,Lotus,770118,3421,773539,1733972,"AMIT SHAH",BJP,Lotus,889925,4699,894624,1945772,69.6699
Rajasthan,Rajsamand,"HARIOM SINGH RATHORE",BJP,Lotus,641020,3774,644794,1701194,"Diya Kumari",BJP,Lotus,858690,4349,863039,1912911,69.6086
"Madhya Pradesh",HOSHANGABAD,"UDAY PRATAP SINGH",BJP,Lotus,668201,927,669128,1568206,"UDAY PRATAP SINGH",BJP,Lotus,876911,1016,877927,1706141,69.3537
